AgeBand,Week,Theme,WordsOrPhrases,FiveMinuteHomeRoutine,ClassroomActivity,CanDoGoal
3-6,1,Greetings,hello goodbye thank you,Parent greets child in Malayalam once a day,Hello circle game,I can say hello and thank you
3-6,2,Family,mother father sibling home,Point to family photos and say names,Family picture naming,I can name two family members
3-6,3,Animals,dog cat cow bird,Point to animal pictures and make sounds,Animal action game,I can say two animal words
3-6,4,Food,water rice milk banana,Name one snack before eating,Food basket game,I can ask for water
3-6,5,Colours,red blue green yellow,Find one colour at home,Colour hunt,I can name two colours
3-6,6,Actions,come go sit eat,Act out one action word,Teacher says action game,I can follow one action word
6-9,1,Introductions,my name is I am fine,Child records a 10-second intro,Partner introduction,I can introduce myself
6-9,2,School,book pen teacher friend,Name school objects while packing bag,Classroom label walk,I can name three school items
6-9,3,Food order,I want water I want rice,Practice pretend ordering at home,Mini restaurant roleplay,I can ask for one food item
6-9,4,Questions,what where who how much,Ask one Malayalam question daily,Question card game,I can ask three questions
6-9,5,Places,home school shop temple,Draw a simple map and name places,Map direction game,I can ask where a place is
6-9,6,Feelings,happy tired hungry okay,Answer how are you daily,Feeling faces game,I can say how I feel
9-13,1,Identity,my name where from language,Record a 20-second intro,Peer interview,I can introduce myself with details
9-13,2,Family call,how are you did you eat I am fine,Practice one family call script,Grandparent call roleplay,I can speak two lines in a family call
9-13,3,Food and shopping,how much I want I do not want,Use a pretend menu,Market roleplay,I can ask price and choose an item
9-13,4,Travel,where is bus stop bathroom shop,Use a map and ask directions,Travel help desk roleplay,I can ask for directions
9-13,5,Stories,yesterday today tomorrow went came,Write three simple life sentences,Story chain game,I can tell a three-line story
9-13,6,Culture and respect,please thank you elder forms polite speech,Practice polite greetings,Respectful speech sorting,I can choose a polite phrase
