Area,CanDoOutcome,ProofTask,Status
Greetings,I can greet someone politely and respond when they greet me,Record a two-line greeting exchange,Not started
Introductions,I can say my name and where I am from,Introduce yourself in 20 seconds,Not started
Family,I can name close family members and say one sentence about them,Describe three family members,Not started
Food,I can ask for water tea food price and the bill,Role-play a small restaurant order,Not started
Shopping,I can ask how much something costs and say I want or do not want it,Ask and answer three price questions,Not started
Directions,I can ask where a place is and understand simple direction words,Ask where the shop bus stop or bathroom is,Not started
Needs,I can say I need help water food rest or a doctor,Record five I need sentences,Not started
Feelings,I can say I am happy tired hungry worried or okay,Answer how are you in five ways,Not started
Questions,I can use what where who when why how and how much,Build seven questions from one pattern,Not started
Clarification,I can say I do not understand and ask someone to repeat slowly,Use three repair phrases in a dialogue,Not started
Listening slow speech,I can understand slow beginner phrases,Match ten audio prompts to meanings,Not started
Listening natural speed,I can catch key words even when I miss the full sentence,Write three words heard from natural-speed audio,Not started
Script vowels,I can recognize the main Malayalam vowel letters,Read a vowel chart aloud,Not started
Script consonants,I can identify common consonant rows,Name letters from mixed rows,Not started
Everyday reading,I can read 100 beginner words with help,Complete the 100-word script checklist,Not started
