Book,Priority,TrackId,Filename,PublicFolder,Status,RecordingNotes
Adult,1,A01,adult_A01_long_vowels_slow.mp3,/audio/adult/,needs_recording,"Long vowels and key contrast words; slow clear speech."
Adult,1,A02,adult_A02_retroflex_dental_slow.mp3,/audio/adult/,needs_recording,"Dental versus retroflex sounds; slow contrast pairs."
Adult,1,A03,adult_A03_zh_sound_slow.mp3,/audio/adult/,needs_recording,"Malayalam zh sound examples; slow and repeatable."
Adult,1,D01,adult_D01_greetings_slow_normal_repeat.mp3,/audio/adult/,needs_recording,"Greeting dialogue in slow, normal and repeat-after-me versions."
Adult,1,D02,adult_D02_family_call_slow_normal_repeat.mp3,/audio/adult/,needs_recording,"Family phone-call dialogue in slow, normal and repeat-after-me versions."
Adult,1,D03,adult_D03_tea_shop_slow_normal_repeat.mp3,/audio/adult/,needs_recording,"Tea shop dialogue in slow, normal and repeat-after-me versions."
Adult,1,D04,adult_D04_auto_directions_slow_normal_repeat.mp3,/audio/adult/,needs_recording,"Auto/directions dialogue in slow, normal and repeat-after-me versions."
Adult,1,D05,adult_D05_health_slow_normal_repeat.mp3,/audio/adult/,needs_recording,"Health dialogue in slow, normal and repeat-after-me versions."
Adult,1,R01,adult_R01_prompt_response_wants_needs.mp3,/audio/adult/,needs_recording,"English prompt, pause, Malayalam answer, repeat."
Kids,1,K01,kids_K01_alphabet_read_aloud.mp3,/audio/kids/,needs_recording,"Read all vowels and consonants in the same order as Book 1."
Kids,1,K02,kids_K02_numbers_1_20.mp3,/audio/kids/,needs_recording,"Numbers 1-20 with a cheerful pause after each."
Kids,2,K03,kids_K03_family_food_colours_animals.mp3,/audio/kids/,needs_recording,"First 100 picture-dictionary words from the kids books."
Kids,2,K04,kids_K04_read_aloud_story_1.mp3,/audio/kids/,needs_recording,"First story read slowly and warmly."
Kids,2,K05,kids_K05_song_rhyme_pack_1.mp3,/audio/kids/,needs_recording,"First five rhymes or songs."
Script,1,S01,script_S01_vowels.mp3,/audio/script/,needs_recording,"Each vowel: sound, example word, repeat."
Script,1,S02,script_S02_consonant_rows.mp3,/audio/script/,needs_recording,"Consonant rows: ka, cha, Ta, tha, pa and other consonants."
Script,2,S03,script_S03_chillu_conjuncts.mp3,/audio/script/,needs_recording,"Chillu letters and common conjuncts."
Script,2,S04,script_S04_reading_practice_words.mp3,/audio/script/,needs_recording,"Reading-practice words from the script book."
Script,2,S05,script_S05_dictation_50_words.mp3,/audio/script/,needs_recording,"Fifty common words with pauses for dictation."
