Day,Audience,Hook,Format,CTA
1,Adults,I understand Malayalam but I freeze when I reply,Short video,Join the review team
2,Parents,Your child answering in English is not failure,Short video,Download parent plan
3,Adults,Stop learning Malayalam words one by one,Short lesson,Visit book launch page
4,Parents,Five Malayalam phrases for breakfast at home,Carousel,Save and share
5,Diaspora families,Who wants their child to answer grandparents in Malayalam,Community post,Comment Malayalam
6,Script learners,Do not memorize Malayalam charts forever,Short lesson,Open script book page
7,All,The real reason beginners quit Malayalam,Email,Join launch list
8,Travelers,Three Kerala family-call sentences,Short video,Save this
9,Parents,One Malayalam cleanup phrase for kids,Short video,Try today
10,Educators,Malayalam needs a modern learning ecosystem,Post,Request media kit
11,Adults,Speak before script: why it works,Short video,Visit roadmap
12,Parents,Age 3 to 6 Malayalam plan,Carousel,Download parent checklist
13,Travelers,Malayalam phrases before visiting Kerala,Short video,Open starter pack
14,Parents,The 10-minute home Malayalam routine,Email,Forward to a parent
15,All,Launch announcement: books plus companion resources,Launch post,Buy or share

